angle_roll,angle_pitch,gyro_x,gyro_y,gyro_z,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_roll,rc_pitch,rc_yaw,rc_thr,battery_mv,i2c_errors,accel_z_raw
-0.11,-0.02,0.01,-0.05,-0.02,0.04,0.19,0.06,1000,1000,1000,1000,1498,1506,1513,1029,12913,1,1.00
-0.11,-0.02,0.01,0.04,0.03,0.03,-0.06,-0.09,1000,1000,1000,1000,1498,1505,1524,1030,12913,1,1.00
-0.11,-0.02,0.01,-0.06,0.01,0.03,0.17,-0.03,1150,1150,1150,1150,1498,1505,1524,1030,12913,1,1.00
-0.11,-0.02,0.01,0.04,0.12,0.03,-0.03,-0.43,1150,1150,1150,1150,1498,1506,1525,1029,12913,1,1.00
-0.11,-0.02,0.01,0.04,0.02,0.03,-0.03,-0.06,1150,1150,1150,1150,1498,1505,1525,1029,12913,1,1.00
-0.11,-0.02,-0.04,-0.02,0.02,0.13,0.01,-0.06,1150,1150,1150,1150,1498,1505,1525,1029,12913,1,1.00
-0.11,-0.02,-0.03,0.03,0.03,0.17,-0.10,-0.09,1150,1150,1150,1150,1498,1506,1526,1029,12913,1,1.00
-0.11,-0.02,-0.07,0.08,-0.01,0.30,-0.17,0.04,1150,1150,1150,1150,1498,1506,1526,1029,12913,1,1.00
-0.11,-0.02,-0.05,-0.07,0.04,0.12,0.48,-0.13,1150,1150,1150,1150,1498,1506,1526,1029,12913,1,1.00
-0.11,-0.02,-0.01,-0.04,-0.02,-0.01,-0.04,0.07,1150,1150,1150,1150,1498,1506,1526,1029,12913,1,1.00
-0.11,-0.02,0.01,0.14,0.01,0.05,-0.80,-0.04,1150,1150,1150,1150,1498,1506,1526,1029,12913,1,1.00
-0.11,-0.02,0.03,0.07,0.03,-0.18,-0.83,-0.10,1150,1150,1150,1150,1498,1506,1525,1029,12913,1,1.00
-0.11,-0.02,-0.04,0.14,0.04,0.17,-0.84,-0.14,1150,1150,1150,1150,1498,1506,1525,1029,12913,1,1.00
-0.11,-0.02,0.08,0.18,-0.03,-0.01,-0.69,0.11,1150,1150,1150,1150,1498,1506,1525,1029,12913,1,1.00
-0.11,-0.02,-0.04,0.16,-0.10,0.11,-0.50,0.34,1150,1150,1150,1150,1498,1506,1525,1029,12913,1,1.00
-0.11,-0.02,-0.03,0.00,0.03,0.17,0.09,-0.11,1150,1150,1150,1150,1498,1506,1510,1029,12913,1,1.00
-0.11,-0.02,0.57,-0.18,0.23,-2.19,0.95,-0.80,1150,1150,1150,1150,1498,1506,1510,1029,12913,1,1.00
-0.11,-0.02,-0.15,0.26,-0.34,0.54,-1.35,1.21,1150,1150,1150,1150,1498,1506,1510,1029,12913,1,1.00
-0.11,-0.02,-0.33,0.36,-0.85,-0.22,-1.97,2.97,1150,1150,1150,1150,1498,1506,1510,1029,12913,1,1.00
-0.12,-0.02,-0.96,0.29,0.55,2.18,-2.52,-1.93,1150,1150,1150,1150,1498,1506,1510,1029,12913,1,1.00
-0.11,-0.02,-0.10,-0.71,1.47,2.79,0.74,-5.15,1150,1150,1150,1150,1498,1506,1511,1029,12913,1,1.01
-0.10,-0.03,0.17,-1.84,-0.15,-0.26,6.59,0.54,1150,1150,1150,1150,1498,1506,1510,1029,12913,1,1.00
-0.10,-0.02,0.95,-0.03,-1.33,-5.43,1.70,4.66,1150,1150,1150,1150,1498,1506,1510,1029,12913,1,1.00
-0.10,-0.01,1.05,2.60,-0.61,-4.49,-10.68,2.12,1150,1150,1150,1150,1498,1506,1511,1029,12913,1,0.99
