angle_roll,angle_pitch,gyro_x,gyro_y,gyro_z,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_roll,rc_pitch,rc_yaw,rc_thr,battery_mv,i2c_errors,accel_z_raw
0.04,0.05,0.03,-0.06,-0.02,-0.18,0.21,0.03,1000,1000,1000,1000,1501,1532,1511,1031,11651,1,1.00
0.04,0.05,-0.04,0.05,0.00,0.17,-0.29,-0.01,1000,1000,1000,1000,1501,1532,1511,1031,11651,1,1.00
0.04,0.05,-0.13,-0.07,0.05,0.35,0.15,-0.07,1150,1150,1150,1150,1501,1533,1512,1030,11651,1,1.00
0.03,0.04,-0.09,-0.01,-0.00,0.22,-0.21,0.00,1150,1150,1150,1150,1501,1533,1512,1030,11651,1,1.00
0.03,0.04,-0.01,0.03,0.03,-0.11,-0.04,-0.05,1150,1150,1150,1150,1501,1533,1512,1030,11651,1,1.00
0.03,0.05,-0.03,-0.01,-0.05,0.18,0.11,0.07,1150,1150,1150,1150,1501,1533,1512,1030,11651,1,1.00
0.03,0.04,-0.09,0.03,-0.02,0.22,-0.10,0.03,1150,1150,1150,1150,1501,1533,1512,1030,11651,1,1.00
0.03,0.04,-0.02,-0.01,-0.06,-0.07,-0.22,0.10,1150,1150,1150,1150,1501,1533,1512,1030,11651,1,1.00
0.03,0.04,-0.02,-0.08,0.06,-0.12,0.08,-0.09,1150,1150,1150,1150,1501,1533,1512,1030,11651,1,1.00
0.03,0.04,0.03,0.09,-0.03,-0.18,-0.45,0.05,1150,1150,1150,1150,1501,1533,1512,1030,11651,1,1.00
0.03,0.04,0.01,0.02,0.12,0.00,-0.41,-0.18,1150,1150,1150,1150,1501,1533,1512,1030,11651,1,1.00
0.03,0.04,0.03,0.09,0.09,-0.21,-0.39,-0.13,1150,1150,1150,1150,1501,1533,1512,1030,11651,1,1.00
0.03,0.04,0.07,0.08,-0.07,-0.33,-0.46,0.11,1150,1150,1150,1150,1501,1533,1513,1029,11651,1,1.00
0.03,0.04,0.01,0.09,-0.03,0.02,-0.73,0.04,1150,1150,1150,1150,1501,1533,1513,1029,11651,1,1.00
0.03,0.04,-0.02,-0.11,0.24,0.24,0.36,-0.36,1150,1150,1150,1150,1501,1533,1513,1029,11651,1,1.00
0.03,0.04,-0.03,-0.04,-0.09,0.18,0.60,0.14,1150,1150,1150,1150,1501,1533,1513,1029,11651,1,1.00
0.03,0.04,-0.05,0.04,-0.07,0.06,-0.34,0.11,1150,1150,1150,1150,1501,1533,1513,1029,11651,1,1.00
0.03,0.04,-0.20,-0.33,0.10,0.40,0.93,-0.14,1150,1150,1150,1150,1500,1533,1513,1029,11651,1,1.00
0.03,0.04,0.04,-0.48,0.02,-0.08,2.12,-0.02,1150,1150,1150,1150,1500,1533,1513,1029,11651,1,1.00
