angle_roll,angle_pitch,gyro_x,gyro_y,gyro_z,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_roll,rc_pitch,rc_yaw,rc_thr,battery_mv,i2c_errors,accel_z_raw
-0.40,-0.03,0.04,-0.04,-0.06,-0.03,0.03,0.00,1000,1000,1000,1000,1502,1530,1511,1045,11692,1,1.00
-0.40,-0.03,0.01,-0.03,-0.05,-0.00,0.02,0.00,1000,1000,1000,1000,1502,1530,1511,1045,11692,1,1.00
-0.40,-0.03,0.03,0.04,-0.01,-0.02,-0.03,0.00,1000,1000,1000,1000,1502,1531,1511,1045,11692,1,1.00
-0.40,-0.03,0.04,-0.02,0.05,-0.02,0.01,0.00,1000,1000,1000,1000,1502,1531,1511,1045,11692,1,1.00
-0.40,-0.03,-0.08,0.02,-0.08,0.05,-0.01,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,1.00
-0.40,-0.03,-0.02,-0.02,-0.03,0.02,0.01,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,1.00
-0.40,-0.03,0.03,-0.02,0.02,-0.02,0.01,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,1.00
-0.40,-0.02,0.03,0.07,-0.05,-0.02,-0.05,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,1.00
-0.40,-0.02,-0.02,-0.02,0.01,0.01,0.01,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,1.00
-0.40,-0.02,0.06,0.21,0.05,-0.04,-0.15,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,1.00
-0.40,-0.02,0.05,0.04,-0.03,-0.03,-0.03,0.00,1150,1150,1150,1150,1498,1530,1511,1045,11692,1,1.00
-0.40,-0.02,-0.08,0.01,-0.25,0.06,-0.01,0.00,1150,1150,1150,1150,1498,1530,1511,1045,11692,1,1.00
-0.40,-0.02,-0.06,-0.02,0.02,0.04,0.01,0.00,1150,1150,1150,1150,1498,1530,1511,1045,11692,1,1.00
-0.40,-0.03,-0.02,-0.16,0.23,0.02,0.11,0.00,1150,1150,1150,1150,1498,1530,1511,1045,11692,1,1.00
-0.40,-0.03,-0.07,-0.25,0.02,0.05,0.17,0.00,1150,1150,1150,1150,1498,1530,1511,1045,11692,1,1.00
-0.40,-0.03,-0.19,-0.18,-0.15,0.13,0.13,0.00,1150,1150,1150,1150,1502,1530,1511,1045,11692,1,1.00
-0.40,-0.02,-0.19,-0.12,0.27,0.13,0.09,0.00,1150,1150,1150,1150,1502,1530,1511,1045,11692,1,1.00
-0.40,-0.03,-0.28,-0.28,-0.21,0.20,0.19,0.00,1150,1150,1150,1150,1502,1530,1511,1045,11692,1,1.00
-0.40,-0.02,0.28,0.13,-0.24,-0.20,-0.09,0.00,1150,1150,1150,1150,1502,1530,1511,1045,11692,1,1.00
-0.41,-0.03,-1.10,-0.60,0.69,0.77,0.42,0.00,1150,1150,1150,1150,1502,1530,1511,1045,11692,1,1.00
-0.40,-0.03,0.34,-1.92,0.22,-0.24,1.34,0.00,1150,1150,1150,1150,1502,1530,1511,1045,11692,1,1.00
-0.40,-0.02,-0.35,0.96,-1.00,0.24,-0.68,0.00,1150,1150,1150,1150,1502,1530,1511,1045,11692,1,1.00
-0.40,-0.02,0.09,0.79,0.13,-0.06,-0.55,0.00,1150,1150,1150,1150,1502,1530,1510,1045,11692,1,1.01
-0.40,-0.03,0.06,-1.06,1.29,-0.04,0.75,0.00,1150,1150,1150,1150,1502,1530,1510,1045,11692,1,0.99
-0.40,-0.02,-0.72,-0.03,-0.67,0.51,0.02,0.00,1150,1150,1150,1150,1502,1530,1510,1045,11692,1,0.99
-0.40,-0.03,-1.37,-0.91,-1.24,0.96,0.64,0.00,1150,1150,1150,1150,1501,1531,1510,1044,11692,1,1.00
-0.40,-0.03,-0.51,-2.91,1.08,0.36,2.04,0.00,1150,1150,1150,1150,1501,1531,1510,1044,11692,1,1.01
-0.40,-0.02,-0.02,-0.85,1.13,0.01,0.60,0.00,1150,1150,1150,1150,1501,1531,1511,1044,11692,1,0.99
-0.39,-0.02,1.93,-0.36,-0.93,-1.35,0.25,0.00,1150,1150,1150,1150,1501,1531,1511,1044,11692,1,0.96
-0.39,-0.03,0.60,1.01,-0.90,-0.42,-0.71,0.00,1150,1150,1150,1150,1501,1531,1511,1045,11692,1,0.98
-0.40,-0.02,0.54,1.52,0.80,-0.38,-1.07,0.00,1150,1150,1150,1150,1501,1531,1511,1045,11692,1,0.97
-0.38,-0.03,0.91,-1.23,-0.02,-0.64,0.86,0.00,1150,1150,1150,1150,1501,1531,1511,1045,11692,1,0.98
-0.39,-0.03,-0.09,1.63,-0.91,0.06,-1.14,0.00,1150,1150,1150,1150,1502,1530,1511,1045,11692,1,0.98
-0.40,-0.04,-0.16,-3.41,-0.02,0.11,2.39,0.00,1150,1150,1150,1150,1501,1530,1511,1045,11692,1,0.95
-0.39,-0.02,-0.48,-1.17,1.51,0.33,0.82,0.00,1150,1150,1150,1150,1501,1532,1511,1044,11692,1,1.00
-0.39,-0.04,-1.14,-1.03,0.29,0.80,0.72,0.00,1150,1150,1150,1150,1500,1531,1511,1045,11692,1,0.98
-0.39,-0.02,-0.16,-0.11,-1.01,0.11,0.07,0.00,1150,1150,1150,1150,1500,1531,1511,1045,11692,1,1.01
-0.40,-0.02,-0.17,-1.60,-0.12,0.12,1.12,0.00,1150,1150,1150,1150,1500,1531,1510,1045,11692,1,1.00
-0.39,-0.03,0.43,0.20,-0.13,-0.30,-0.14,0.00,1150,1150,1150,1150,1502,1531,1510,1045,11692,1,1.00
-0.39,-0.03,-1.24,-1.94,1.94,0.87,1.36,0.00,1150,1150,1150,1150,1502,1531,1510,1045,11692,1,1.01
-0.39,-0.02,-1.34,1.62,-1.45,0.94,-1.13,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,1.02
-0.38,0.00,-0.63,2.05,0.53,0.44,-1.44,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,1.03
-0.38,-0.02,2.98,0.70,0.49,-2.09,-0.49,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,1.01
-0.39,0.01,0.27,3.64,0.29,-0.19,-2.55,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,1.00
-0.39,-0.00,0.78,-1.30,-1.66,-0.55,0.91,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,1.05
-0.38,0.01,0.00,2.09,0.65,-0.00,-1.46,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,1.04
-0.39,-0.01,0.04,-3.02,0.33,-0.02,2.11,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,1.04
-0.41,-0.01,-5.33,-2.28,1.01,3.73,1.60,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,1.01
-0.40,-0.00,-4.02,-2.21,1.05,2.81,1.55,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,1.03
-0.39,0.01,-1.25,-0.73,-0.45,0.88,0.51,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,1.05
-0.38,-0.00,2.03,-4.52,0.67,-1.42,3.16,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,1.03
-0.39,0.00,0.39,-0.25,-1.53,-0.27,0.17,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,0.96
-0.41,-0.01,-0.93,-2.88,2.02,0.65,2.02,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,1.00
-0.39,0.00,1.01,0.75,-1.45,-0.71,-0.52,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,0.98
-0.39,-0.01,1.71,3.17,0.41,-1.20,-2.22,0.00,1150,1150,1150,1150,1502,1531,1511,1045,11692,1,1.00
-0.40,-0.01,-1.97,-0.69,0.78,1.38,0.48,0.00,1150,1150,1150,1150,1502,1531,1510,1045,11692,1,1.01
-0.37,-0.00,4.71,4.06,-1.06,-3.30,-2.85,0.00,1150,1150,1150,1150,1502,1531,1510,1045,11692,1,0.98
-0.41,-0.04,-4.12,-0.56,0.20,2.89,0.39,0.00,1150,1150,1150,1150,1502,1531,1510,1045,11692,1,0.99
-0.38,-0.03,1.08,-2.92,0.01,-0.76,2.05,0.00,1150,1150,1150,1150,1502,1531,1510,1045,11692,1,1.02
-0.42,-0.00,-2.06,4.63,0.43,1.44,-3.24,0.00,1150,1150,1150,1150,1502,1531,1510,1045,11692,1,1.02
-0.41,-0.06,-2.91,-4.28,-0.28,2.04,2.99,0.00,1150,1150,1150,1150,1502,1531,1510,1045,11664,1,1.01
-0.36,-0.02,9.00,-5.17,-0.33,-6.30,3.62,0.00,1150,1150,1150,1150,1502,1531,1510,1045,11664,1,1.03
-0.39,0.01,0.56,8.13,-1.47,-0.40,-5.69,0.00,1150,1150,1150,1150,1501,1531,1510,1045,11664,1,1.01
-0.39,-0.04,-3.79,-2.66,0.81,2.66,1.86,0.00,1150,1150,1150,1150,1501,1531,1510,1045,11664,1,1.02
-0.37,0.04,1.16,2.52,1.02,-0.81,-1.76,0.00,1150,1150,1150,1150,1501,1531,1510,1045,11664,1,1.08
-0.37,0.03,2.71,9.82,-0.71,-1.90,-6.87,0.00,1150,1150,1150,1150,1501,1531,1510,1045,11664,1,1.06
-0.38,-0.00,-2.62,-11.33,1.16,1.83,7.93,0.00,1150,1150,1150,1150,1501,1531,1510,1045,11664,1,1.11
-0.34,0.12,0.63,7.44,0.22,-0.44,-5.21,0.00,1150,1150,1150,1150,1501,1531,1510,1045,11664,1,1.09
-0.34,0.10,6.34,10.26,-1.35,-4.44,-7.18,0.00,1150,1150,1150,1150,1502,1531,1510,1045,11664,1,1.04
-0.39,0.03,-9.38,-13.05,0.31,6.57,9.14,0.00,1150,1150,1150,1150,1502,1531,1510,1045,11664,1,1.00
-0.31,0.08,4.60,2.53,1.75,-3.22,-1.77,0.00,1150,1150,1150,1150,1502,1531,1510,1045,11664,1,0.95
-0.34,0.07,7.48,5.25,2.32,-5.24,-3.67,0.00,1150,1150,1150,1150,1502,1531,1510,1045,11664,1,0.93
-0.39,0.04,-9.85,-6.46,-1.95,6.90,4.52,0.00,1150,1150,1150,1150,1502,1531,1510,1045,11664,1,1.04
-0.31,0.10,3.12,4.62,3.50,-2.18,-3.23,0.00,1150,1150,1150,1150,1501,1531,1510,1045,11664,1,1.06
-0.35,0.06,0.61,-1.56,3.22,-0.43,1.09,0.00,1150,1150,1150,1150,1501,1531,1510,1045,11664,1,1.03
-0.36,0.03,-8.49,1.07,-0.89,5.94,-0.75,0.00,1150,1150,1150,1150,1501,1531,1510,1045,11664,1,0.95
-0.34,-0.01,3.63,-2.36,3.21,-2.54,1.65,0.00,1150,1150,1150,1150,1501,1531,1510,1045,11664,1,0.93
-0.35,0.04,-1.54,4.21,1.78,1.08,-2.94,0.00,1150,1150,1150,1150,1501,1531,1510,1045,11664,1,0.97
-0.36,0.05,2.41,7.29,-0.81,-1.69,-5.11,0.00,1150,1150,1150,1150,1501,1531,1510,1045,11664,1,1.01
-0.38,-0.02,-3.34,-11.76,0.98,2.34,8.23,0.00,1150,1150,1150,1150,1501,1531,1510,1045,11664,1,1.02
-0.33,0.07,1.36,-0.20,-0.33,-0.95,0.14,0.00,1150,1150,1150,1150,1501,1531,1510,1045,11664,1,1.03
-0.35,0.11,4.95,18.09,0.43,-3.47,-12.66,0.00,1150,1150,1150,1150,1501,1531,1510,1045,11664,1,1.04
-0.41,0.02,-6.64,-11.43,0.08,4.65,8.00,0.00,1150,1150,1150,1150,1501,1531,1510,1044,11664,1,1.05
-0.34,0.12,-1.83,2.75,-0.70,1.28,-1.93,0.00,1150,1150,1150,1150,1501,1531,1510,1044,11664,1,1.03
-0.32,0.14,14.39,11.56,0.77,-10.07,-8.09,0.00,1150,1150,1150,1150,1501,1531,1511,1044,11664,1,1.03
-0.42,0.08,-10.62,-4.90,-0.21,7.43,3.43,0.00,1150,1150,1150,1150,1501,1530,1511,1045,11664,1,1.05
-0.34,0.07,-3.18,-7.69,0.53,2.23,5.38,0.00,1150,1150,1150,1150,1501,1530,1511,1045,11664,1,0.95
-0.32,0.10,13.27,3.41,1.11,-9.29,-2.39,0.00,1150,1150,1150,1150,1501,1530,1511,1045,11664,1,0.95
-0.39,0.12,-6.12,1.70,0.28,4.28,-1.19,0.00,1150,1150,1150,1150,1501,1530,1511,1045,11664,1,0.99
-0.36,0.12,-3.08,-3.32,-1.12,2.16,2.32,0.00,1150,1150,1150,1150,1501,1531,1510,1046,11664,1,1.02
-0.36,0.11,0.37,-4.46,2.66,-0.26,3.12,0.00,1150,1150,1150,1150,1501,1531,1511,1046,11664,1,0.98
-0.35,0.12,1.69,3.95,0.70,-1.18,-2.77,0.00,1150,1150,1150,1150,1501,1531,1511,1046,11664,1,0.94
-0.35,0.07,2.48,-2.55,-2.06,-1.74,1.79,0.00,1150,1150,1150,1150,1501,1531,1511,1046,11664,1,1.00
-0.38,0.05,-6.04,-6.20,2.05,4.23,4.34,0.00,1150,1150,1150,1150,1501,1531,1511,1046,11664,1,0.95
-0.33,0.08,4.92,1.00,-0.81,-3.44,-0.70,0.00,1150,1150,1150,1150,1501,1531,1511,1046,11664,1,0.99
-0.34,0.13,9.28,10.30,-1.86,-6.50,-7.21,0.00,1150,1150,1150,1150,1501,1531,1511,1046,11664,1,1.03
-0.40,0.05,-7.16,-3.57,-0.85,5.01,2.50,0.00,1150,1150,1150,1150,1501,1531,1511,1046,11664,1,1.04
-0.36,0.05,-3.77,-7.13,1.84,2.64,4.99,0.00,1150,1150,1150,1150,1501,1531,1511,1046,11664,1,0.96
-0.36,0.07,10.45,8.65,-0.76,-7.32,-6.05,0.00,1150,1150,1150,1150,1502,1531,1511,1046,11664,1,0.93
-0.41,0.02,-5.51,2.48,-1.06,3.86,-1.74,0.00,1150,1150,1150,1150,1502,1530,1510,1046,11664,1,0.99
-0.37,0.01,-7.65,-13.87,2.10,5.36,9.71,0.00,1150,1150,1150,1150,1502,1530,1510,1046,11664,1,0.96
-0.37,0.08,2.02,8.47,0.87,-1.41,-5.93,0.00,1150,1150,1150,1150,1502,1530,1510,1046,11664,1,1.03
-0.40,0.01,-5.58,1.16,-0.21,3.91,-0.81,0.00,1150,1150,1150,1150,1502,1531,1509,1046,11664,1,1.01
-0.39,-0.03,-3.19,-11.45,-0.43,2.23,8.01,0.00,1150,1150,1150,1150,1502,1531,1509,1046,11664,1,1.01
-0.37,0.06,-2.11,0.95,0.02,1.48,-0.67,0.00,1150,1150,1150,1150,1502,1531,1509,1046,11664,1,0.97
-0.35,0.05,5.69,9.79,-1.15,-3.98,-6.85,0.00,1150,1150,1150,1150,1502,1531,1509,1046,11664,1,0.95
-0.39,0.01,-2.74,-7.20,-2.66,1.91,5.04,0.00,1150,1150,1150,1150,1502,1531,1509,1046,11664,1,1.06
-0.36,0.08,-7.35,-2.42,-0.97,5.14,1.70,0.00,1150,1150,1150,1150,1502,1531,1509,1047,11664,1,1.07
-0.33,0.03,8.47,1.13,0.15,-5.93,-0.79,0.00,1150,1150,1150,1150,1502,1531,1509,1047,11664,1,1.01
-0.40,0.02,-5.60,-1.52,1.05,3.92,1.07,0.00,1150,1150,1150,1150,1502,1531,1510,1047,11664,1,1.02
-0.38,0.04,-8.72,0.02,-1.08,6.11,-0.02,0.00,1150,1150,1150,1150,1502,1531,1509,1047,11664,1,1.01
-0.34,0.04,2.66,-2.45,2.71,-1.87,1.72,0.00,1150,1150,1150,1150,1502,1531,1509,1047,11664,1,1.03
-0.39,0.06,-3.24,0.82,0.96,2.27,-0.57,0.00,1150,1150,1150,1150,1502,1531,1509,1049,11664,1,1.08
-0.38,-0.01,-6.47,0.44,-0.77,4.53,-0.31,0.00,1150,1150,1150,1150,1502,1531,1509,1049,11664,1,1.00
-0.35,-0.04,2.53,-10.41,2.00,-1.77,7.29,0.00,1150,1150,1150,1150,1502,1531,1509,1049,11664,1,1.09
-0.35,-0.00,2.68,-3.72,-1.78,-1.88,2.60,0.00,1150,1150,1150,1150,1502,1531,1512,1049,11664,1,0.93
-0.37,0.02,1.55,14.21,-1.04,-1.08,-9.95,0.00,1150,1150,1150,1150,1502,1531,1512,1049,11664,1,0.99
-0.38,-0.04,-4.75,-13.58,1.93,3.32,9.50,0.00,1150,1150,1150,1150,1502,1531,1516,1056,11664,1,1.06
-0.31,0.08,2.70,6.25,2.41,-1.89,-4.37,0.00,1150,1150,1150,1150,1502,1531,1516,1056,11664,1,1.03
-0.34,0.01,9.20,7.41,2.09,-6.44,-5.19,0.00,1150,1150,1150,1150,1502,1531,1516,1060,11664,1,0.95
-0.40,-0.04,-9.63,-9.65,1.08,6.74,6.75,0.00,1150,1150,1150,1150,1502,1531,1516,1061,11664,1,1.04
-0.34,0.01,-1.65,1.93,-0.43,1.15,-1.35,0.00,1150,1150,1150,1150,1502,1531,1516,1061,11664,1,0.98
-0.32,-0.02,12.17,4.19,0.31,-8.52,-2.93,0.00,1150,1150,1150,1150,1502,1531,1511,1061,11664,1,1.02
-0.44,-0.02,-10.29,-1.64,1.16,7.20,1.15,0.00,1150,1150,1150,1150,1502,1531,1511,1061,11664,1,1.02
-0.36,-0.00,-1.67,-0.17,-2.72,1.17,0.12,0.00,1150,1150,1150,1150,1502,1531,1508,1064,11664,1,1.02
-0.34,-0.00,7.50,1.96,1.03,-5.25,-1.37,0.00,1150,1150,1150,1150,1502,1531,1508,1066,11664,1,1.06
-0.40,0.02,-2.93,3.52,1.78,2.05,-2.46,0.00,1150,1150,1150,1150,1502,1531,1508,1066,11664,1,1.04
-0.38,-0.02,2.02,2.21,-1.37,-1.41,-1.55,0.00,1150,1150,1150,1150,1502,1531,1509,1077,11664,1,0.96
-0.39,-0.07,-3.23,-7.39,1.09,2.26,5.17,0.00,1150,1150,1150,1150,1502,1531,1509,1077,11664,1,0.94
-0.36,0.03,2.74,5.83,-0.48,-1.92,-4.08,0.00,1150,1150,1150,1150,1502,1531,1509,1081,11664,1,1.04
