angle_roll,angle_pitch,gyro_x,gyro_y,gyro_z,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_roll,rc_pitch,rc_yaw,rc_thr,battery_mv,i2c_errors,accel_z_raw
0.43,0.00,-0.01,0.02,-0.08,0.01,-0.02,0.00,1150,1150,1150,1150,1501,1528,1511,1025,11590,1,1.00
0.42,0.00,0.03,-0.01,-0.08,-0.02,0.00,0.00,1150,1150,1150,1150,1501,1528,1511,1025,11590,1,1.00
0.42,0.00,-0.05,-0.04,0.01,0.04,0.03,-0.00,1150,1150,1150,1150,1501,1528,1511,1025,11590,1,1.00
0.42,0.00,0.07,0.05,-0.04,-0.05,-0.04,0.00,1150,1150,1150,1150,1501,1528,1511,1025,11590,1,1.00
0.43,0.01,0.07,0.03,0.02,-0.05,-0.02,0.00,1150,1150,1150,1150,1501,1528,1511,1025,11590,1,1.00
0.42,0.01,0.03,-0.02,0.02,-0.03,0.02,0.00,1150,1150,1150,1150,1501,1528,1511,1025,11590,1,1.00
0.42,0.01,0.04,0.04,0.01,-0.03,-0.03,0.00,1150,1150,1150,1150,1501,1528,1511,1025,11590,1,1.00
0.42,0.01,-0.04,-0.05,-0.02,0.04,0.04,0.00,1150,1150,1150,1150,1501,1528,1511,1026,11590,1,1.00
0.42,0.01,0.27,0.09,0.09,-0.22,-0.07,0.00,1150,1150,1150,1150,1501,1528,1510,1026,11590,1,1.00
0.42,0.01,-0.12,0.17,-0.05,0.10,-0.14,0.00,1150,1150,1150,1150,1501,1528,1510,1026,11590,1,1.00
0.42,0.01,-0.08,0.00,0.04,0.07,-0.00,-0.00,1150,1150,1150,1150,1501,1529,1511,1025,11590,1,1.00
0.42,0.01,-0.02,-0.10,0.07,0.01,0.08,-0.00,1150,1150,1150,1150,1501,1529,1511,1025,11590,1,1.00
0.42,0.01,-0.01,-0.11,0.06,0.01,0.09,-0.00,1150,1150,1150,1150,1501,1529,1510,1025,11590,1,1.00
0.42,0.01,-0.02,-0.10,-0.13,0.02,0.08,0.00,1150,1150,1150,1150,1501,1528,1511,1025,11590,1,1.00
0.42,0.01,-0.09,-0.18,-0.01,0.07,0.14,0.00,1150,1150,1150,1150,1501,1528,1511,1025,11590,1,1.00
0.42,0.01,-0.01,-0.22,0.12,0.01,0.17,-0.00,1150,1150,1150,1150,1501,1528,1510,1027,11590,1,1.00
