angle_roll,angle_pitch,gyro_x,gyro_y,gyro_z,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_roll,rc_pitch,rc_yaw,rc_thr,battery_mv,i2c_errors,accel_z_raw
0.30,0.08,-0.01,-0.10,-0.02,-0.21,0.02,0.05,1000,1000,1000,1000,1501,1528,1512,1045,11512,1,1.00
0.30,0.08,-0.07,-0.01,-0.06,-0.18,-0.28,0.16,1000,1000,1000,1000,1501,1526,1512,1046,11512,1,1.00
0.30,0.08,-0.06,0.03,0.02,-0.18,-0.07,-0.06,1000,1000,1000,1000,1502,1526,1512,1046,11512,1,1.00
0.30,0.08,0.04,-0.02,0.03,-0.38,0.05,-0.07,1000,1000,1000,1000,1502,1526,1512,1046,11512,1,1.00
0.30,0.08,0.01,-0.04,-0.05,-0.46,-0.08,0.12,1000,1000,1000,1000,1502,1526,1512,1047,11512,1,1.00
0.30,0.08,0.03,-0.07,-0.06,-0.38,0.16,0.15,1000,1000,1000,1000,1502,1526,1512,1047,11512,1,1.00
0.30,0.08,0.03,-0.07,0.05,-0.35,0.12,-0.13,1000,1000,1000,1000,1502,1527,1513,1047,11512,1,1.00
0.30,0.08,-0.03,-0.04,-0.09,-0.01,-0.12,0.23,1150,1150,1150,1150,1502,1527,1513,1047,11512,1,1.00
0.30,0.08,-0.05,0.12,-0.12,-0.14,-0.30,0.30,1150,1150,1150,1150,1502,1527,1514,1043,11512,1,1.00
0.30,0.08,0.09,0.01,0.19,-0.48,-0.21,-0.47,1150,1150,1150,1150,1504,1525,1514,1043,11512,1,1.00
0.30,0.08,0.17,-0.02,0.15,-0.40,-0.06,-0.38,1150,1150,1150,1150,1504,1525,1514,1043,11512,1,1.00
0.30,0.08,-0.03,0.02,-0.20,-0.36,0.13,0.49,1150,1150,1150,1150,1504,1525,1513,1044,11512,1,1.00
0.30,0.07,0.00,-0.20,-0.20,-0.54,0.79,0.50,1150,1150,1150,1150,1501,1526,1513,1044,11512,1,1.00
0.30,0.08,0.03,-0.19,0.17,-0.06,1.17,-0.42,1150,1150,1150,1150,1501,1526,1512,1044,11512,1,1.00
