angle_roll,angle_pitch,gyro_x,gyro_y,gyro_z,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_roll,rc_pitch,rc_yaw,rc_thr,battery_mv,i2c_errors,accel_z_raw
-0.15,0.32,-0.01,-0.01,-0.04,0.00,0.00,0.00,1000,1000,1000,1000,1501,1538,1508,1029,11799,1,1.00
-0.15,0.32,-0.11,-0.05,0.01,0.05,0.02,-0.00,1000,1000,1000,1000,1501,1538,1508,1029,11799,1,1.00
-0.15,0.32,0.05,-0.03,-0.03,-0.02,0.01,0.00,1000,1000,1000,1000,1501,1538,1508,1029,11799,1,1.00
-0.15,0.32,0.03,-0.01,0.01,-0.01,0.01,-0.00,1150,1150,1150,1150,1501,1538,1509,1029,11799,1,1.00
-0.15,0.32,-0.01,-0.12,-0.03,0.00,0.06,0.00,1150,1150,1150,1150,1502,1538,1509,1029,11799,1,1.00
-0.15,0.32,0.02,0.03,-0.00,-0.01,-0.01,0.00,1150,1150,1150,1150,1502,1538,1509,1028,11799,1,1.00
-0.15,0.32,0.04,0.03,-0.03,-0.02,-0.01,0.00,1150,1150,1150,1150,1502,1538,1509,1028,11799,1,1.00
-0.14,0.32,0.03,0.03,-0.01,-0.01,-0.01,0.00,1150,1150,1150,1150,1502,1538,1509,1028,11799,1,1.00
-0.14,0.32,0.01,0.13,0.16,-0.01,-0.06,0.00,1150,1150,1150,1150,1502,1538,1509,1028,11799,1,1.00
-0.14,0.32,-0.15,-0.07,-0.18,0.07,0.03,0.00,1150,1150,1150,1150,1500,1538,1509,1028,11799,1,1.00
-0.14,0.31,-0.06,-0.09,-0.13,0.03,0.04,0.00,1150,1150,1150,1150,1500,1538,1508,1029,11799,1,1.00
-0.14,0.31,0.08,-0.03,0.14,-0.04,0.01,-0.00,1150,1150,1150,1150,1500,1538,1508,1029,11799,1,1.00
-0.14,0.31,-0.11,-0.17,0.05,0.05,0.08,0.00,1150,1150,1150,1150,1500,1538,1508,1029,11799,1,1.00
-0.14,0.31,-0.15,-0.09,-0.19,0.07,0.04,0.00,1150,1150,1150,1150,1501,1538,1508,1029,11799,1,1.00
-0.14,0.31,0.17,-0.08,0.03,-0.07,0.04,-0.00,1150,1150,1150,1150,1501,1536,1508,1029,11799,1,1.00
-0.14,0.31,0.03,0.07,0.16,-0.01,-0.03,0.00,1150,1150,1150,1150,1501,1536,1508,1029,11799,1,1.00
-0.14,0.31,0.36,0.13,0.02,-0.16,-0.06,0.00,1150,1150,1150,1150,1501,1533,1508,1029,11799,1,1.00
-0.14,0.31,-0.02,0.29,-0.29,0.01,-0.13,0.00,1150,1150,1150,1150,1501,1533,1508,1029,11799,1,1.00
-0.14,0.32,0.43,0.52,-0.29,-0.19,-0.23,0.00,1150,1150,1150,1150,1501,1533,1509,1029,11799,1,1.00
-0.15,0.32,-0.49,1.01,0.79,0.22,-0.46,-0.00,1150,1150,1150,1150,1501,1533,1509,1029,11799,1,1.00
-0.14,0.31,0.12,-1.36,0.39,-0.06,0.61,0.00,1150,1150,1150,1150,1501,1533,1508,1029,11799,1,1.00
-0.14,0.30,-0.04,-1.88,-0.89,0.02,0.84,0.00,1150,1150,1150,1150,1501,1534,1508,1028,11799,1,1.00
-0.14,0.31,0.26,0.57,-0.21,-0.12,-0.26,0.00,1150,1150,1150,1150,1501,1534,1508,1028,11799,1,1.00
-0.15,0.32,-0.72,1.14,0.60,0.32,-0.51,0.00,1150,1150,1150,1150,1501,1534,1508,1028,11799,1,1.01
-0.14,0.32,-0.03,1.06,-0.53,0.01,-0.48,0.00,1150,1150,1150,1150,1501,1535,1508,1028,11799,1,1.02
