angle_roll,angle_pitch,gyro_x,gyro_y,gyro_z,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_roll,rc_pitch,rc_yaw,rc_thr,battery_mv,i2c_errors,accel_z_raw
0.11,-0.12,-0.06,0.00,-0.03,-0.11,0.09,0.12,1000,1000,1000,1000,1499,1505,1512,1038,12395,1,1.00
0.11,-0.12,-0.06,0.02,0.00,-0.12,0.18,-0.01,1000,1000,1000,1000,1497,1505,1512,1037,12395,1,1.00
0.11,-0.12,-0.02,-0.05,-0.05,-0.28,0.20,0.18,1000,1000,1000,1000,1497,1505,1512,1037,12395,1,1.00
0.11,-0.12,0.06,0.02,-0.04,-0.23,0.16,0.14,1000,1000,1000,1000,1497,1505,1512,1037,12395,1,1.00
0.11,-0.12,-0.01,0.00,-0.05,-0.19,0.10,0.17,1000,1000,1000,1000,1498,1505,1511,1037,12395,1,1.00
0.11,-0.12,-0.02,-0.06,0.02,-0.23,0.17,-0.06,1000,1000,1000,1000,1498,1505,1511,1037,12395,1,1.00
0.11,-0.12,0.01,0.01,-0.08,-0.13,0.13,0.28,1000,1000,1000,1000,1499,1505,1512,1037,12395,1,1.00
0.11,-0.12,0.05,-0.05,0.04,-0.25,0.23,-0.15,1150,1150,1150,1150,1499,1505,1512,1037,12395,1,1.00
0.11,-0.12,0.03,0.07,-0.04,-0.31,-0.23,0.14,1150,1150,1150,1150,1499,1505,1512,1037,12395,1,1.00
0.11,-0.12,-0.08,0.03,0.02,-0.14,-0.10,-0.06,1150,1150,1150,1150,1498,1508,1512,1037,12395,1,1.00
0.11,-0.12,-0.05,-0.35,0.05,-0.29,1.14,-0.18,1150,1150,1150,1150,1498,1508,1512,1037,12395,1,1.00
0.11,-0.12,-0.19,-0.20,0.03,0.60,0.99,-0.09,1150,1150,1150,1150,1498,1508,1512,1037,12395,1,1.00
0.11,-0.12,-0.12,-0.01,-0.29,-0.07,0.09,1.02,1150,1150,1150,1150,1498,1509,1512,1037,12395,1,1.00
0.11,-0.12,0.05,-0.01,-0.10,-0.25,-0.51,0.36,1150,1150,1150,1150,1498,1509,1512,1037,12395,1,1.00
0.11,-0.12,0.01,0.00,0.22,-0.14,-0.06,-0.78,1150,1150,1150,1150,1498,1509,1512,1037,12395,1,1.00
0.11,-0.12,0.06,0.11,0.05,-0.19,-0.05,-0.17,1150,1150,1150,1150,1498,1509,1512,1037,12395,1,1.00
0.11,-0.12,0.03,0.09,-0.22,-0.02,-0.49,0.78,1150,1150,1150,1150,1498,1508,1512,1037,12395,1,1.00
0.11,-0.12,0.01,0.08,0.17,0.17,-0.13,-0.58,1150,1150,1150,1150,1498,1508,1512,1037,12395,1,1.00
0.11,-0.12,0.26,0.27,-0.05,-0.69,-1.14,0.17,1150,1150,1150,1150,1498,1508,1512,1037,12395,1,1.00
0.11,-0.11,-0.20,1.10,-0.37,1.31,-3.01,1.31,1150,1150,1150,1150,1498,1508,1512,1037,12395,1,1.00
0.11,-0.12,-0.65,-0.05,0.53,2.52,0.92,-1.84,1150,1150,1150,1150,1498,1508,1512,1037,12395,1,1.00
0.12,-0.12,1.02,-1.50,-0.20,-3.45,7.31,0.69,1150,1150,1150,1150,1498,1508,1517,1038,12395,1,1.00
0.11,-0.11,0.36,0.58,-1.36,-0.53,-0.60,4.78,1150,1150,1150,1150,1498,1509,1517,1038,12395,1,1.00
0.11,-0.11,1.46,1.12,0.85,-7.02,-4.58,-2.99,1150,1150,1150,1150,1498,1509,1517,1038,12395,1,1.02
0.11,-0.12,0.23,0.98,0.46,-2.30,-6.85,-1.62,1150,1150,1150,1150,1498,1509,1513,1037,12395,1,1.01
0.11,-0.11,-0.78,1.74,-1.40,3.56,-5.89,4.89,1150,1150,1150,1150,1498,1509,1513,1037,12395,1,1.02
