angle_roll,angle_pitch,gyro_x,gyro_y,gyro_z,pid_roll,pid_pitch,pid_yaw,m1,m2,m3,m4,rc_roll,rc_pitch,rc_yaw,rc_thr,battery_mv,i2c_errors,accel_z_raw
0.07,0.07,0.04,-0.02,-0.01,-0.18,-0.08,0.02,1000,1000,1000,1000,1498,1516,1513,1030,12790,1,1.00
0.07,0.07,0.04,0.04,0.01,-0.23,-0.08,-0.05,1000,1000,1000,1000,1498,1517,1513,1030,12790,1,1.00
0.07,0.07,-0.02,0.02,0.07,-0.15,0.15,-0.24,1150,1150,1150,1150,1498,1517,1513,1030,12790,1,1.00
0.07,0.07,-0.04,0.04,-0.01,0.07,-0.10,0.05,1150,1150,1150,1150,1498,1517,1513,1030,12790,1,1.00
0.07,0.07,-0.01,0.03,-0.00,-0.12,-0.12,0.01,1150,1150,1150,1150,1498,1517,1513,1030,12790,1,1.00
0.07,0.07,0.04,0.01,0.05,-0.24,-0.23,-0.18,1150,1150,1150,1150,1498,1517,1513,1030,12790,1,1.00
0.07,0.07,-0.00,-0.06,-0.00,-0.10,0.09,0.01,1150,1150,1150,1150,1494,1517,1513,1030,12790,1,1.00
0.07,0.07,0.08,0.02,0.00,-0.40,-0.17,-0.01,1150,1150,1150,1150,1494,1517,1513,1030,12790,1,1.00
0.07,0.07,0.14,-0.03,0.01,-0.74,-0.08,-0.03,1150,1150,1150,1150,1494,1517,1513,1030,12790,1,1.00
0.07,0.07,0.12,-0.07,0.10,-0.24,0.10,-0.35,1150,1150,1150,1150,1494,1517,1513,1030,12790,1,1.00
0.07,0.07,0.05,0.13,0.05,0.07,-0.64,-0.19,1150,1150,1150,1150,1497,1517,1513,1030,12790,1,1.00
0.07,0.07,-0.05,0.08,0.11,0.58,-0.80,-0.38,1150,1150,1150,1150,1499,1517,1513,1030,12790,1,1.00
0.07,0.07,-0.04,0.09,-0.01,0.38,-0.51,0.02,1150,1150,1150,1150,1499,1517,1513,1030,12790,1,1.00
0.07,0.07,-0.03,-0.04,-0.19,0.09,0.13,0.68,1150,1150,1150,1150,1499,1517,1513,1030,12790,1,1.00
0.07,0.07,-0.13,-0.06,-0.10,-0.02,0.37,0.36,1150,1150,1150,1150,1499,1517,1513,1030,12790,1,1.00
0.07,0.07,-0.04,-0.13,0.06,0.07,0.45,-0.21,1150,1150,1150,1150,1499,1517,1513,1030,12790,1,1.00
0.07,0.07,-0.04,0.03,0.23,0.71,-0.45,-0.79,1150,1150,1150,1150,1499,1517,1513,1030,12790,1,1.00
0.07,0.07,-0.71,-0.01,0.17,2.56,-0.89,-0.59,1150,1150,1150,1150,1499,1517,1513,1030,12790,1,1.00
0.07,0.07,-0.41,0.12,-0.37,2.46,0.20,1.28,1150,1150,1150,1150,1498,1517,1513,1030,12790,1,1.00
0.07,0.06,0.71,-0.81,-0.67,-4.89,0.65,2.35,1150,1150,1150,1150,1498,1517,1513,1030,12790,1,1.00
0.07,0.07,0.33,0.29,-0.18,-3.98,0.23,0.64,1150,1150,1150,1150,1497,1517,1513,1030,12790,1,1.00
0.07,0.07,0.52,1.30,1.10,-1.23,-5.48,-3.85,1150,1150,1150,1150,1497,1517,1513,1030,12790,1,0.99
0.08,0.07,1.48,0.07,0.37,-4.02,-3.10,-1.29,1150,1150,1150,1150,1497,1517,1513,1030,12790,1,1.00
0.08,0.05,0.65,-1.80,-0.79,-4.49,5.86,2.75,1150,1150,1150,1150,1498,1517,1513,1030,12790,1,0.99
0.07,0.06,-1.02,0.53,-0.48,2.33,2.89,1.68,1150,1150,1150,1150,1498,1517,1513,1030,12790,1,1.00
0.07,0.06,0.04,-0.62,0.16,-1.27,2.76,-0.54,1150,1150,1150,1150,1500,1517,1513,1030,12790,1,1.01
0.08,0.06,1.76,-1.88,0.46,-7.42,8.76,-1.61,1150,1150,1150,1150,1500,1517,1513,1030,12790,1,0.99
0.08,0.05,1.50,-2.50,-0.28,-4.74,7.12,0.97,1150,1150,1150,1150,1500,1517,1513,1030,12790,1,0.97
0.08,0.06,0.10,-0.17,0.15,0.13,-0.41,-0.52,1150,1150,1150,1150,1499,1517,1513,1030,12790,1,0.98
0.08,0.04,1.04,-1.31,-0.05,-0.87,-1.13,0.17,1150,1150,1150,1150,1499,1517,1513,1030,12790,1,0.95
0.08,0.05,-0.12,-0.81,0.26,2.72,0.85,-0.92,1150,1150,1150,1150,1499,1517,1513,1030,12790,1,0.96
0.08,0.04,-0.50,1.42,-0.09,3.81,-5.36,0.33,1150,1150,1150,1150,1499,1517,1513,1029,12790,1,0.97
0.08,0.06,0.59,0.93,-1.00,-4.67,-0.03,3.51,1150,1150,1150,1150,1499,1517,1514,1029,12790,1,1.03
0.08,0.06,-0.37,1.36,0.52,0.84,-6.09,-1.82,1150,1150,1150,1150,1491,1517,1514,1029,12790,1,1.01
0.09,0.06,0.05,2.09,0.16,2.94,-7.47,-0.57,1150,1150,1150,1150,1491,1517,1514,1029,12790,1,1.02
